,Suburb,Type,Price,Method,SellerG,Date,Distance,Postcode,Regionname,Propertycount,Year,Month,Quarter,Year_Quarter
0,Abbotsford,h,1480000,S,Biggin,2016-12-03,2.5,3067.0,Northern Metropolitan,4019.0,2016,12,4,2016-Q4
1,Abbotsford,h,1035000,S,Biggin,2016-02-04,2.5,3067.0,Northern Metropolitan,4019.0,2016,2,1,2016-Q1
2,Abbotsford,h,1465000,SP,Biggin,2017-03-04,2.5,3067.0,Northern Metropolitan,4019.0,2017,3,1,2017-Q1
3,Abbotsford,h,850000,PI,Biggin,2017-03-04,2.5,3067.0,Northern Metropolitan,4019.0,2017,3,1,2017-Q1
4,Abbotsford,h,1600000,VB,Nelson,2016-06-04,2.5,3067.0,Northern Metropolitan,4019.0,2016,6,2,2016-Q2
5,Abbotsford,h,941000,S,Jellis,2016-05-07,2.5,3067.0,Northern Metropolitan,4019.0,2016,5,2,2016-Q2
6,Abbotsford,h,1876000,S,Nelson,2016-05-07,2.5,3067.0,Northern Metropolitan,4019.0,2016,5,2,2016-Q2
7,Abbotsford,h,1636000,S,Nelson,2016-10-08,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
8,Abbotsford,h,1000000,S,Jellis,2016-10-08,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
9,Abbotsford,t,745000,S,Jellis,2016-10-08,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
10,Abbotsford,u,300000,S,Biggin,2016-10-08,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
11,Abbotsford,h,1097000,S,Biggin,2016-10-08,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
12,Abbotsford,u,542000,S,Dingle,2016-10-08,2.5,3067.0,Northern Metropolitan,4019.0,2016,10,4,2016-Q4
13,Abbotsford,u,760000,SP,Biggin,2016-12-10,2.5,3067.0,Northern Metropolitan,4019.0,2016,12,4,2016-Q4
14,Abbotsford,u,481000,SP,Purplebricks,2016-12-10,2.5,3067.0,Northern Metropolitan,4019.0,2016,12,4,2016-Q4
15,Abbotsford,u,700000,VB,Jellis,2016-11-12,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
16,Abbotsford,h,1350000,VB,Nelson,2016-11-12,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
17,Abbotsford,u,750000,S,Biggin,2016-11-12,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
18,Abbotsford,h,1985000,S,Biggin,2016-11-12,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
19,Abbotsford,u,500000,S,Biggin,2016-11-12,2.5,3067.0,Northern Metropolitan,4019.0,2016,11,4,2016-Q4
20,Abbotsford,h,1172500,S,Biggin,2016-08-13,2.5,3067.0,Northern Metropolitan,4019.0,2016,8,3,2016-Q3
21,Abbotsford,u,441000,SP,Greg,2016-05-14,2.5,3067.0,Northern Metropolitan,4019.0,2016,5,2,2016-Q2
